label,nr_errors,total,perc. errors
music.group_member,37.0,0,inf
broadcast.artist,24.0,0,inf
location.country,0.0,0,
government.politician,0.0,0,
music.performance_role,1.0,0,inf
media_common.media_genre,6.0,0,inf
book.periodical,1.0,0,inf
location.administrative_division,1.0,0,inf
award.award_category,0.0,0,
film.film_festival_focus,1.0,0,inf
theater.play,0.0,0,
broadcast.radio_format,0.0,0,
location.location,10.0,0,inf
tv.tv_program_creator,1.0,0,inf
film.music_contributor,2.0,0,inf
tv.tv_actor,39.0,0,inf
film.actor,62.0,0,inf
tv.tv_director,2.0,0,inf
award.award_presenting_organization,1.0,0,inf
tv.tv_character,3.0,0,inf
music.record_label,2.0,0,inf
location.citytown,1.0,0,inf
music.genre,1.0,0,inf
film.writer,21.0,0,inf
film.film_character,0.0,0,
award.award_discipline,2.0,0,inf
award.award_ceremony,0.0,0,
music.album,12.0,0,inf
film.film,5.0,0,inf
award.competition,4.0,0,inf
music.writer,3.0,0,inf
tv.tv_producer,1.0,0,inf
music.lyricist,15.0,0,inf
language.human_language,1.0,0,inf
tv.tv_network,1.0,0,inf
time.event,12.0,0,inf
music.producer,5.0,0,inf
theater.theater_actor,1.0,0,inf
law.invention,1.0,0,inf
music.composition,5.0,0,inf
music.media_format,0.0,0,
organization.organization,21.0,0,inf
film.film_genre,6.0,0,inf
film.producer,19.0,0,inf
book.author,5.0,0,inf
music.composer,34.0,0,inf
spaceflight.astronaut,0.0,0,
music.musical_group,12.0,0,inf
business.business_operation,18.0,0,inf
film.director,44.0,0,inf
music.musical_scale,0.0,0,
film.production_company,5.0,0,inf
music.artist,56.0,0,inf
food.food,0.0,0,
broadcast.radio_station,1.0,0,inf
fictional_universe.fictional_character,0.0,0,
interests.collection_category,1.0,0,inf
book.written_work,5.0,0,inf
celebrities.celebrity,6.0,0,inf
tv.tv_genre,2.0,0,inf
book.book,3.0,0,inf
broadcast.tv_station,1.0,0,inf
film.film_distributor,3.0,0,inf
people.person,296.0,0,inf
broadcast.broadcast,3.0,0,inf
business.product_category,1.0,0,inf
