label,nr_errors,total,perc. errors
music.artist,64.0,0,inf
music.performance_role,1.0,0,inf
music.producer,4.0,0,inf
theater.play,0.0,0,
location.administrative_division,1.0,0,inf
government.politician,0.0,0,
fictional_universe.fictional_character,2.0,0,inf
award.award_ceremony,0.0,0,
music.record_label,1.0,0,inf
broadcast.radio_format,0.0,0,
people.person,233.0,0,inf
film.producer,15.0,0,inf
broadcast.tv_station,1.0,0,inf
organization.organization,16.0,0,inf
tv.tv_program_creator,1.0,0,inf
language.human_language,0.0,0,
award.competition,2.0,0,inf
music.composition,3.0,0,inf
spaceflight.astronaut,0.0,0,
award.award_presenting_organization,1.0,0,inf
broadcast.artist,28.0,0,inf
film.film_character,4.0,0,inf
broadcast.radio_station,1.0,0,inf
tv.tv_director,3.0,0,inf
interests.collection_category,0.0,0,
award.award_discipline,2.0,0,inf
film.film_festival_focus,2.0,0,inf
film.production_company,12.0,0,inf
film.film_distributor,3.0,0,inf
film.director,15.0,0,inf
location.citytown,1.0,0,inf
theater.theater_actor,1.0,0,inf
film.writer,27.0,0,inf
business.product_category,0.0,0,
book.author,6.0,0,inf
business.business_operation,28.0,0,inf
book.periodical,1.0,0,inf
film.actor,54.0,0,inf
music.genre,0.0,0,
music.album,6.0,0,inf
broadcast.broadcast,5.0,0,inf
tv.tv_actor,46.0,0,inf
book.written_work,4.0,0,inf
film.film_genre,1.0,0,inf
tv.tv_network,1.0,0,inf
award.award_category,0.0,0,
tv.tv_producer,1.0,0,inf
music.composer,34.0,0,inf
law.invention,0.0,0,
food.food,0.0,0,
music.group_member,40.0,0,inf
book.book,1.0,0,inf
celebrities.celebrity,5.0,0,inf
time.event,22.0,0,inf
location.location,10.0,0,inf
film.film,4.0,0,inf
tv.tv_genre,5.0,0,inf
music.musical_group,4.0,0,inf
music.media_format,0.0,0,
location.country,0.0,0,
music.lyricist,14.0,0,inf
music.writer,3.0,0,inf
tv.tv_character,2.0,0,inf
film.music_contributor,2.0,0,inf
media_common.media_genre,2.0,0,inf
music.musical_scale,0.0,0,
